Step,Action,Price,Portfolio Value
671,2,443.34,10046.758799999992
672,1,443.35,10046.758799999992
673,2,443.59,10046.978799999993
674,2,443.58,10046.978799999993
675,0,443.675,10046.978799999993
676,0,443.48,10046.978799999993
677,2,443.55,10046.978799999993
678,0,443.44,10046.978799999993
679,1,443.53,10046.978799999993
680,1,443.475,10048.958799999993
681,2,443.475,10047.748799999994
682,1,443.41,10047.748799999994
683,1,443.44,10046.318799999994
684,1,443.55,10046.978799999993
685,2,443.475,10049.398799999994
686,1,443.475,10049.398799999994
687,1,443.47,10049.398799999994
688,2,443.48,10049.288799999993
689,2,443.475,10049.288799999993
690,1,443.47,10049.288799999993
691,1,443.48,10049.178799999992
692,0,443.47,10049.398799999994
693,0,443.475,10049.178799999992
694,0,443.4,10049.288799999993
695,1,443.4,10047.638799999992
696,2,443.41,10047.638799999992
697,1,443.47,10047.638799999992
698,2,443.575,10048.958799999991
699,2,443.5,10048.958799999991
700,2,443.425,10048.958799999991
701,2,443.75,10048.958799999991
702,0,443.625,10048.958799999991
703,0,443.33,10048.958799999991
704,1,443.51,10048.958799999991
705,2,443.6,10052.91879999999
706,2,443.61,10052.91879999999
707,0,443.625,10052.91879999999
708,0,443.625,10052.91879999999
709,1,443.509,10052.91879999999
710,1,443.66,10050.36679999999
711,2,443.5,10053.68879999999
712,1,443.58,10053.68879999999
713,2,443.66,10055.448799999991
714,0,443.82,10055.448799999991
715,0,443.845,10055.448799999991
716,0,443.84,10055.448799999991
717,2,443.72,10055.448799999991
718,0,443.7,10055.448799999991
719,0,450.4,10055.448799999991
720,0,443.99,10055.448799999991
721,1,418.2436,10055.448799999991
722,1,443.97,9489.027999999991
723,0,443.52,10055.00879999999
724,1,443.7,10045.108799999989
725,0,443.735,10049.06879999999
726,0,443.55,10049.83879999999
727,2,443.7,10045.76879999999
728,2,443.99,10045.76879999999
729,2,443.7,10045.76879999999
730,0,443.77,10045.76879999999
731,1,443.6,10045.76879999999
732,1,443.8,10042.028799999993
733,2,443.56,10046.428799999992
734,1,443.33,10046.428799999992
735,2,443.58,10041.368799999993
736,0,443.765,10041.368799999993
737,0,443.765,10041.368799999993
738,0,443.62,10041.368799999993
739,0,443.75,10041.368799999993
740,0,443.63,10041.368799999993
741,0,443.67,10041.368799999993
