Step,Action,Price,Portfolio Value
465,[2 2 0],446.415,9939.800099999997
466,[0 2 1],446.75,9936.286499999997
467,[1 0 0],446.76,9929.597699999997
468,[1 1 0],446.54,9926.926499999998
469,[2 0 0],446.525,9922.606499999996
470,[2 2 2],446.3417,9921.886499999999
471,[0 0 1],446.145,9921.886499999999
472,[1 2 2],446.075,9924.550499999998
473,[0 2 1],446.1629,9924.550499999998
474,[1 0 0],446.0201,9915.903299999998
475,[0 0 2],446.1288,9920.230499999998
476,[2 1 0],446.08,9920.230499999998
477,[2 1 0],445.705,9907.270499999999
478,[2 2 1],445.755,9907.870499999997
479,[0 2 1],446.0175,9896.940899999996
480,[0 2 1],445.86,9893.348099999996
481,[0 1 1],445.78,9891.893699999997
482,[2 0 0],445.82,9892.750499999996
483,[0 2 1],445.945,9888.236099999996
484,[0 2 1],445.94,9888.300899999997
485,[1 0 2],445.8,9883.980899999997
486,[2 1 1],445.94,9883.980899999997
487,[0 2 2],445.8,9880.916099999997
488,[1 1 0],445.77,9880.916099999997
489,[2 1 1],445.52,9880.256099999995
490,[2 0 1],445.55,9877.200899999996
491,[0 1 0],445.55,9881.096099999995
492,[1 0 0],445.405,9880.136099999996
493,[0 2 0],445.75,9875.456099999996
494,[2 0 0],445.655,9875.456099999996
495,[1 2 2],445.44,9875.456099999996
496,[2 1 1],445.6251,9870.726099999996
497,[2 0 0],445.6628,9874.086099999997
498,[1 0 0],445.44,9868.537299999996
499,[2 2 0],445.43,9862.119699999996
500,[0 2 2],445.344,9862.119699999996
501,[0 0 0],445.04,9862.119699999996
502,[0 1 2],445.08,9862.119699999996
503,[1 2 1],445.14,9856.959699999996
504,[1 0 2],445.195,9864.879699999996
505,[1 0 1],445.06,9864.879699999996
506,[2 0 0],445.29,9861.909699999997
507,[0 1 2],445.57,9861.909699999997
508,[0 0 1],445.72,9856.903299999996
509,[0 2 1],445.9,9850.627299999998
510,[1 1 0],446.0,9851.361699999998
511,[0 0 0],445.64,9847.012899999998
512,[1 2 0],445.61,9843.124899999999
513,[1 0 2],445.565,9843.787299999998
514,[1 0 1],445.63,9843.787299999998
515,[0 2 0],445.9,9845.217299999998
516,[2 1 1],446.0035,9851.157299999997
517,[0 0 2],445.939,9855.042899999999
518,[2 0 2],445.755,9865.557299999997
519,[0 0 2],445.56,9860.879699999998
520,[2 0 0],445.59,9853.871699999998
521,[2 0 0],445.58,9867.597299999998
522,[0 1 2],445.68,9869.646899999998
523,[0 0 1],445.61,9862.437299999998
524,[2 1 1],445.4392,9841.9173
525,[0 0 2],445.29,9853.914899999998
526,[0 1 2],445.39,9850.317299999997
527,[2 1 2],444.92,9852.957299999998
528,[0 1 0],444.705,9859.197299999998
529,[1 2 2],444.35,9869.037299999998
530,[1 1 2],444.43,9869.037299999998
531,[2 0 0],444.4,9870.797299999998
532,[1 1 2],444.24,9870.797299999998
533,[2 0 0],444.38,9867.2773
534,[1 2 2],444.5431,9867.2773
535,[2 2 1],444.6575,9870.865499999998
536,[1 2 0],444.75,9867.913499999999
537,[0 2 0],444.67,9880.225499999997
538,[0 0 1],444.7,9892.465499999997
539,[1 1 1],444.59,9891.385499999999
540,[0 2 2],444.6438,9893.185499999998
541,[1 0 2],444.68,9893.185499999998
542,[0 2 0],444.46,9893.981899999999
543,[1 1 1],444.44,9889.141899999997
544,[1 1 2],444.57,9888.701899999998
545,[2 2 0],444.35,9891.561899999997
546,[1 2 2],444.39,9891.561899999997
547,[2 0 0],444.45,9892.441899999996
548,[2 0 2],444.2655,9892.441899999996
549,[0 0 1],444.1203,9892.441899999996
550,[0 2 2],444.3878,9884.608299999998
551,[0 1 0],444.145,9884.608299999998
552,[0 2 2],444.1,9873.328299999996
553,[0 1 0],444.125,9873.328299999996
554,[2 1 2],444.003,9884.365899999995
555,[1 2 2],444.17,9879.568299999995
556,[1 0 1],443.8647,9879.568299999995
557,[2 0 1],443.97,9872.851699999996
558,[2 2 2],443.9,9866.746099999995
559,[0 0 1],443.64,9866.746099999995
560,[1 1 1],443.9699,9870.353299999995
561,[1 0 2],444.26,9861.713299999996
562,[0 2 0],444.07,9861.713299999996
563,[1 2 2],444.04,9861.713299999996
564,[1 0 0],444.17,9861.053299999998
565,[1 1 2],444.17,9863.913299999997
566,[1 1 2],444.14,9863.913299999997
567,[0 1 1],443.98,9863.253299999997
568,[0 2 2],443.98,9859.733299999998
569,[2 1 1],443.94,9859.733299999998
570,[2 1 2],443.92,9828.460299999997
571,[0 1 1],444.0,9822.244299999998
572,[1 0 1],444.13,9793.3342
573,[0 0 2],444.15,9779.865899999997
574,[0 1 1],444.1876,9777.573899999998
575,[0 1 2],443.91,9817.578999999998
576,[0 0 1],443.84,9817.194999999998
577,[0 1 2],443.66,9822.674999999997
578,[2 1 2],443.57,9840.434999999998
579,[1 0 1],443.494,9826.992599999998
580,[2 1 1],443.15,9820.3144
581,[0 0 1],442.41,9816.643399999999
582,[2 2 1],442.55,9827.526099999997
583,[2 0 1],442.905,9822.766899999997
584,[2 2 2],442.6581,9815.206899999996
585,[2 0 2],442.33,9815.206899999996
586,[0 0 0],442.295,9815.206899999996
587,[1 1 2],441.8493,9815.206899999996
