Step,Action,Price,Portfolio Value
484,[0 1 1],445.94,10134.197699999992
485,[0 2 0],445.8,10129.757699999991
486,[0 0 0],445.94,10124.207699999992
487,[2 1 1],445.8,10118.65769999999
488,[0 2 2],445.77,10126.856899999992
489,[0 1 2],445.52,10126.856899999992
490,[1 1 0],445.55,10123.801699999993
491,[2 1 2],445.55,10127.696899999992
492,[0 0 0],445.405,10126.736899999993
493,[2 0 0],445.75,10122.056899999992
494,[0 1 1],445.655,10134.054499999991
495,[0 0 2],445.44,10137.81669999999
496,[0 0 1],445.6251,10147.176699999993
497,[0 2 1],445.6628,10150.536699999993
498,[0 1 2],445.44,10145.356699999993
499,[0 1 2],445.43,10145.356699999993
500,[2 1 1],445.344,10132.742299999994
501,[1 2 1],445.04,10130.382899999991
502,[0 1 2],445.08,10136.302899999993
503,[1 2 0],445.14,10136.302899999993
504,[1 0 0],445.195,10137.622899999993
505,[1 2 2],445.06,10138.832899999992
506,[0 2 1],445.29,10135.862899999993
507,[1 0 0],445.57,10141.092899999994
508,[0 0 2],445.72,10147.422899999992
509,[0 0 2],445.9,10150.722899999993
510,[2 2 2],446.0,10154.682899999993
511,[1 1 1],445.64,10154.682899999993
512,[1 2 0],445.61,10146.654899999992
513,[0 0 0],445.565,10146.013299999993
514,[0 2 2],445.63,10144.863299999994
515,[0 0 1],445.9,10146.293299999992
516,[1 1 0],446.0035,10152.214299999992
517,[2 0 0],445.939,10154.311499999993
518,[0 2 2],445.755,10154.171899999992
519,[1 1 1],445.56,10154.171899999992
520,[1 2 1],445.59,10149.615099999992
521,[0 0 1],445.58,10150.295099999992
522,[2 2 0],445.68,10150.215099999992
523,[1 0 2],445.61,10150.134899999992
524,[1 1 2],445.4392,10148.594899999991
525,[0 1 2],445.29,10144.837299999992
526,[1 1 0],445.39,10141.554899999992
527,[2 1 2],444.92,10143.75489999999
528,[0 2 1],444.705,10149.99489999999
529,[0 0 1],444.35,10147.04229999999
530,[0 2 2],444.43,10150.09849999999
531,[1 2 1],444.4,10150.09849999999
532,[0 2 0],444.24,10149.208499999986
533,[2 0 1],444.38,10145.548499999988
534,[0 2 1],444.5431,10145.548499999988
535,[0 0 0],444.6575,10147.768499999987
536,[1 2 2],444.75,10144.734499999988
537,[1 1 0],444.67,10144.734499999988
538,[2 2 0],444.7,10142.974499999988
539,[0 0 0],444.59,10142.974499999988
540,[0 1 0],444.6438,10142.974499999988
541,[0 2 0],444.68,10145.614499999987
542,[2 2 0],444.46,10145.614499999987
543,[0 0 0],444.44,10145.614499999987
544,[1 0 2],444.57,10145.614499999987
545,[2 2 2],444.35,10148.474499999986
546,[2 1 2],444.39,10148.474499999986
547,[1 2 1],444.45,10140.741699999986
548,[1 0 0],444.2655,10137.833499999986
549,[1 0 1],444.1203,10133.341699999984
550,[1 2 1],444.3878,10125.290499999986
551,[0 1 0],444.145,10124.831699999984
552,[1 2 1],444.1,10123.721699999984
553,[1 0 1],444.125,10125.201699999985
554,[2 1 2],444.003,10130.381699999984
555,[0 2 0],444.17,10130.381699999984
556,[1 0 0],443.8647,10130.381699999984
557,[0 0 1],443.97,10123.665099999984
558,[1 1 1],443.9,10125.812099999985
559,[1 1 2],443.64,10124.321899999983
560,[1 2 2],443.9699,10118.601899999983
561,[2 0 0],444.26,10125.859699999983
562,[2 2 2],444.07,10125.859699999983
563,[1 1 1],444.04,10125.859699999983
564,[2 2 2],444.17,10125.139699999985
565,[1 1 1],444.17,10125.139699999985
566,[2 0 2],444.14,10125.009899999985
567,[0 2 0],443.98,10125.009899999985
568,[2 0 0],443.98,10125.009899999985
569,[2 0 1],443.94,10125.009899999985
